iter	MAE	RMSE
0	2.767930649	4.48410239
1	2.723773243	4.429298429
2	2.682979793	4.376676205
3	2.643712275	4.32737306
4	2.604750019	4.278205595
5	2.56918983	4.234850021
6	2.534568491	4.192650244
7	2.500464749	4.153405058
8	2.468649134	4.116906405
9	2.439597093	4.081962942
10	2.412891763	4.050878691
11	2.388312896	4.022482507
12	2.365192388	3.99366191
13	2.34405009	3.966402268
14	2.324750214	3.942134135
15	2.307178538	3.918878042
16	2.29034	3.897507851
17	2.274343456	3.8773429
18	2.258437496	3.858154072
19	2.244483335	3.84061494
20	2.228209641	3.821942085
21	2.215103965	3.80637773
22	2.201798508	3.791332104
23	2.188092824	3.776561066
24	2.17641939	3.763673546
25	2.165493695	3.750932899
26	2.154914655	3.739336881
27	2.145258059	3.728573507
28	2.134060941	3.717281495
29	2.124891567	3.706936578
30	2.116083447	3.697601146
31	2.107714291	3.688337925
32	2.099480266	3.680430715
33	2.092171447	3.672614654
34	2.084143005	3.664634325
35	2.075822003	3.656598204
36	2.067510227	3.649169011
37	2.060841818	3.642768158
38	2.054019344	3.636536605
39	2.048118859	3.631335094
40	2.042892453	3.625755968
41	2.037648751	3.620714648
42	2.032651572	3.616136076
43	2.027827637	3.611286003
44	2.022487757	3.60589058
45	2.018357818	3.601646792
46	2.014098179	3.598048183
47	2.009162634	3.593698833
48	2.004708099	3.590246284
49	1.999640907	3.58558366
50	1.996358559	3.582550942
51	1.992065233	3.579038689
52	1.987752455	3.575669169
53	1.984228248	3.571931702
54	1.980997546	3.568894754
55	1.977966714	3.56621759
56	1.974690897	3.56337996
57	1.971279682	3.560357799
58	1.968462942	3.557329802
59	1.965239743	3.554460892
60	1.963069096	3.552239755
61	1.960317913	3.549213593
62	1.957910841	3.546863571
63	1.955932681	3.54494396
64	1.953754142	3.542634255
65	1.952428277	3.540634512
66	1.950585778	3.538175699
67	1.949276732	3.536678934
68	1.9481129	3.534986351
69	1.946938051	3.533242592
70	1.946126755	3.531760988
71	1.944955734	3.530033678
72	1.943312473	3.527483028
73	1.942467042	3.526163463
74	1.941291681	3.524692521
75	1.939790573	3.522855692
76	1.938577373	3.52145135
77	1.937493111	3.520031788
78	1.936643902	3.51846326
79	1.935567956	3.516977055
80	1.935213803	3.515672483
81	1.934524263	3.514417889
82	1.933623644	3.512743462
83	1.932491398	3.511499059
84	1.93215941	3.510558158
85	1.931302855	3.509529108
86	1.930415975	3.508072361
87	1.929532373	3.507013124
88	1.928761324	3.506085896
89	1.928132597	3.504911577
90	1.927704345	3.503822591
91	1.927131563	3.503025502
92	1.92620884	3.50142945
93	1.925321187	3.500576235
94	1.924190354	3.499017882
95	1.923367013	3.497610884
96	1.92273922	3.496605408
97	1.921816681	3.495222814
98	1.921050041	3.493942711
99	1.920651133	3.492992141
100	1.919947077	3.49223132
101	1.919773261	3.491497644
102	1.919316806	3.490899436
103	1.91886315	3.48996987
104	1.918227942	3.489059837
105	1.917770728	3.488379263
106	1.917145627	3.487365496
107	1.916455157	3.485774814
108	1.915832245	3.484998937
109	1.915304655	3.484304244
110	1.91519569	3.483682152
111	1.91472628	3.482740345
112	1.914352827	3.481933805
113	1.91426038	3.481233781
114	1.913539933	3.480535638
115	1.912945908	3.479779721
116	1.9126674	3.478771813
117	1.912416788	3.478267924
118	1.911685984	3.477352691
119	1.911342671	3.476468399
120	1.910691321	3.475909786
121	1.910275008	3.475149073
122	1.909620326	3.474448771
123	1.909240871	3.473858733
124	1.908940045	3.473381797
125	1.908430907	3.47248814
126	1.907710915	3.470831477
127	1.907227924	3.470251878
128	1.906926945	3.469481703
129	1.906435195	3.468853028
130	1.905850104	3.468065706
131	1.905192087	3.467200664
132	1.904681971	3.46666398
133	1.904365964	3.46612863
134	1.903998074	3.465643478
135	1.903706556	3.465023215
136	1.903321809	3.464645573
137	1.903035166	3.464127228
138	1.90280701	3.463583325
139	1.902261293	3.462642253
140	1.902171457	3.462100188
141	1.901761258	3.461671892
142	1.901414714	3.461090321
143	1.901286816	3.460564702
144	1.900863937	3.460174782
145	1.900136765	3.458849181
146	1.899880577	3.458318306
147	1.899434868	3.457605673
148	1.899018331	3.456450219
149	1.898925627	3.456035375
150	1.898570416	3.455676621
151	1.898304913	3.455348928
152	1.898006339	3.454703214
153	1.897856967	3.454485411
154	1.89730937	3.45320825
155	1.896763742	3.452704587
156	1.896420875	3.452014085
157	1.896167027	3.451625335
158	1.895933953	3.451262674
159	1.895531985	3.450509402
160	1.895174661	3.449899167
161	1.894823155	3.449452587
162	1.894258134	3.448539397
163	1.893775818	3.448106367
164	1.893310245	3.447757343
165	1.893028755	3.447060235
166	1.892730073	3.446411668
167	1.892195975	3.445448371
168	1.891633784	3.44436801
169	1.891496377	3.443821511
170	1.891343577	3.443426516
171	1.890823772	3.442843788
172	1.890508289	3.442317668
173	1.890136807	3.441966741
174	1.889797147	3.441580898
175	1.88953191	3.44108072
176	1.889275435	3.440771643
177	1.888877829	3.440033805
178	1.888466478	3.439611111
179	1.88813768	3.439261248
180	1.887802265	3.438986214
181	1.887608165	3.438737993
182	1.887162863	3.437885919
183	1.88684534	3.437557183
184	1.886560903	3.43694753
185	1.886211985	3.436448304
186	1.885986782	3.435750628
187	1.885741104	3.435411967
188	1.885586986	3.435046103
189	1.885152262	3.434492645
190	1.884861817	3.433809073
191	1.884669973	3.433572886
192	1.884351469	3.433204974
193	1.883995384	3.432734253
194	1.883878877	3.432329123
195	1.883541472	3.431615744
196	1.883073007	3.430813873
197	1.882819695	3.430354597
198	1.882549844	3.429784918
199	1.8820151	3.429084277
200	1.881458018	3.42849705
201	1.881160953	3.42765081
202	1.88098598	3.427300417
203	1.880951635	3.427060573
204	1.880770652	3.426642871
205	1.880471832	3.426396244
206	1.880220934	3.426190498
207	1.879851922	3.425996925
208	1.879657402	3.425633134
209	1.879300573	3.425329689
210	1.879053839	3.424574237
211	1.878743283	3.423996438
212	1.878388335	3.423378039
213	1.878094612	3.422830202
214	1.877793013	3.422370651
215	1.877552115	3.421881578
216	1.877391251	3.421092546
217	1.87720471	3.420539922
218	1.877083323	3.420277001
219	1.876749198	3.419633658
220	1.876482396	3.419124686
221	1.876204014	3.418618053
222	1.876033804	3.418174396
223	1.875748397	3.41769283
224	1.87520905	3.417148393
225	1.875110683	3.41676765
226	1.875019442	3.416399586
227	1.874859006	3.416149317
228	1.874524247	3.415682854
229	1.874321448	3.415221798
230	1.874030746	3.414880793
231	1.873818925	3.414639301
232	1.873646345	3.413959713
233	1.873314695	3.41359721
234	1.873048327	3.413165582
235	1.872926068	3.412820172
236	1.872588344	3.412426764
237	1.872420766	3.412004265
238	1.872312468	3.411716355
239	1.872246956	3.411530187
240	1.871972591	3.411041321
241	1.871776179	3.410651574
242	1.871394379	3.410160253
243	1.871198741	3.409983788
244	1.870879064	3.409456832
245	1.870405068	3.408926329
246	1.87024726	3.408538977
247	1.870082847	3.407962279
248	1.869916866	3.407625498
249	1.869404483	3.406663833
250	1.869160611	3.40609604
251	1.868952422	3.405773893
252	1.868506904	3.404922879
253	1.868308908	3.404432195
254	1.867901895	3.403713001
255	1.867579941	3.403314131
256	1.867335621	3.403065843
257	1.867258256	3.402622097
258	1.867059919	3.402482313
259	1.866532705	3.40182744
260	1.866310238	3.401417406
261	1.866047194	3.401139792
262	1.86570977	3.400438977
263	1.865440706	3.399951419
264	1.865238893	3.399605935
265	1.865024311	3.399087177
266	1.864557811	3.398536879
267	1.864399321	3.39819011
268	1.863984334	3.397431863
269	1.863685232	3.396977205
270	1.863453567	3.396485741
271	1.863198637	3.395969774
272	1.862918062	3.395428887
273	1.862545859	3.394928863
274	1.862476883	3.394497901
275	1.862351762	3.394071952
276	1.862022222	3.393580682
277	1.861827474	3.393173969
278	1.861705052	3.392817088
279	1.861489825	3.392293776
280	1.861256185	3.392066436
281	1.861128382	3.391665236
282	1.860756228	3.391118059
283	1.860374892	3.390674805
284	1.860183654	3.390250239
285	1.860062313	3.389990245
286	1.85990341	3.389584142
287	1.859645467	3.388982668
288	1.859401553	3.388428651
289	1.85915806	3.387952998
290	1.859061861	3.387665356
291	1.858777014	3.387463542
292	1.858481861	3.387066199
293	1.858192593	3.386547027
294	1.857713362	3.385713024
295	1.857482828	3.385310626
296	1.857317203	3.385104977
297	1.857173119	3.384696562
298	1.857016062	3.384309394
299	1.856779303	3.384103017
300	1.856466905	3.383521119
301	1.856334003	3.383148991
302	1.856101755	3.382646321
303	1.855925358	3.382462525
304	1.85539231	3.381563495
305	1.855017917	3.380756425
306	1.854810164	3.380357882
307	1.85455569	3.380053396
308	1.854384835	3.379679435
309	1.854010649	3.3792801
310	1.853894944	3.378972677
311	1.85352488	3.378365799
312	1.853331305	3.377830935
313	1.85317729	3.377403807
314	1.852857793	3.376742015
315	1.852727986	3.376414229
316	1.852627805	3.376097706
317	1.852459339	3.375565519
318	1.85216432	3.374951215
319	1.851918664	3.374763204
320	1.851634855	3.374284117
321	1.851451395	3.373952062
322	1.851148759	3.373548159
323	1.850904942	3.373093748
324	1.85067779	3.372633861
325	1.850537693	3.372358407
326	1.850467956	3.372077627
327	1.850187261	3.371628894
328	1.849887886	3.371234334
329	1.849792392	3.370976289
330	1.849612113	3.370638109
331	1.849471569	3.370291738
332	1.84933281	3.36993297
333	1.849303472	3.369729285
334	1.849177489	3.369311295
335	1.84894148	3.368988847
336	1.848729111	3.368714148
337	1.848516451	3.368312684
338	1.848293743	3.368000879
339	1.848029969	3.367449347
340	1.847819065	3.367102123
341	1.847679121	3.366762136
342	1.847626062	3.366533784
343	1.847429711	3.366170196
344	1.847281157	3.365832627
345	1.847071266	3.365633811
346	1.846968433	3.36530066
347	1.846834686	3.364859036
348	1.846667548	3.364594431
349	1.846383851	3.364169024
350	1.84607894	3.363836826
351	1.845909443	3.363438674
352	1.84584547	3.363098688
353	1.845657636	3.36267926
354	1.845327008	3.362173891
355	1.845160762	3.362019203
356	1.845043339	3.361725226
357	1.844640949	3.361026844
358	1.844443566	3.360683188
359	1.844298396	3.360408699
360	1.844107559	3.360135492
361	1.843887821	3.359820882
362	1.84367221	3.359414995
363	1.843440904	3.359082707
364	1.843346017	3.358839187
365	1.843083404	3.358436355
366	1.842916322	3.358024731
367	1.842709373	3.357729355
368	1.842339116	3.35708813
369	1.842085621	3.356640206
370	1.84197966	3.356325014
371	1.841939059	3.35605287
372	1.841886651	3.355918199
373	1.841820599	3.355782898
374	1.841812489	3.355764384
375	1.841759065	3.35551661
376	1.841685689	3.355226883
377	1.841459284	3.354850451
378	1.841409097	3.354618883
379	1.841058654	3.354024528
380	1.840853477	3.353637774
381	1.840658276	3.353202497
382	1.840236114	3.352623297
383	1.840127336	3.352343247
384	1.839897601	3.352129675
385	1.839897178	3.352111787
386	1.839856601	3.352055398
387	1.839653136	3.351677569
388	1.839649342	3.351660294
389	1.83968722	3.351613277
390	1.83967272	3.351584253
391	1.83947398	3.351221939
392	1.839341373	3.350958135
393	1.839342032	3.350956052
394	1.839321884	3.350925538
395	1.83929525	3.350903187
396	1.839232369	3.35077948
397	1.839033988	3.350452963
398	1.838714778	3.350056064
399	1.83839094	3.349642118
400	1.838253169	3.349431793
401	1.838254418	3.349429858
402	1.83820944	3.349250104
403	1.838023225	3.349003913
404	1.837869911	3.348842718
405	1.837907849	3.348798572
406	1.837851127	3.348575317
407	1.837592597	3.348089772
408	1.837482797	3.347868825
409	1.837520964	3.34782742
410	1.837500039	3.347800099
411	1.837496001	3.347784224
412	1.83727075	3.347615201
413	1.836955858	3.347138009
414	1.836820411	3.346869013
415	1.836584807	3.346416222
416	1.836453986	3.346093457
417	1.836315738	3.345962913
418	1.835961279	3.345544097
419	1.835640885	3.344991551
420	1.835348117	3.344496829
421	1.835322372	3.344371873
422	1.835323675	3.344370106
423	1.835124604	3.344055822
424	1.834968765	3.343659371
425	1.834897378	3.343590401
426	1.834657412	3.343318584
427	1.834520937	3.343113199
428	1.834522545	3.343111466
429	1.834524064	3.34310976
430	1.83436946	3.342835899
431	1.834234544	3.342494968
432	1.834115635	3.342248938
433	1.834051733	3.341993127
434	1.833756877	3.341512487
435	1.83372359	3.341449396
436	1.833559741	3.341184021
437	1.833561509	3.341182355
438	1.833353936	3.340902028
439	1.833236426	3.34055634
440	1.833192859	3.340525648
441	1.832975835	3.340269789
442	1.832961043	3.340245779
443	1.832982697	3.340155474
444	1.832817792	3.339916726
445	1.832770557	3.339683604
446	1.832614436	3.339573963
447	1.832408774	3.339317197
448	1.832159361	3.338921469
449	1.832080942	3.33871368
450	1.832036855	3.338503642
451	1.832038098	3.338502059
452	1.831834753	3.33828476
453	1.831723294	3.338010429
454	1.831724206	3.338008719
455	1.831580877	3.337740096
456	1.831572347	3.337728974
457	1.831549726	3.337700782
458	1.831527922	3.337660604
459	1.831348253	3.337409616
460	1.831221114	3.337157177
461	1.831221821	3.337155548
462	1.83122286	3.337154046
463	1.831020732	3.336926056
464	1.830926217	3.336781611
465	1.830911139	3.336709017
466	1.830665325	3.3364081
467	1.830666293	3.336406651
468	1.830567356	3.336273266
469	1.830493395	3.336249862
470	1.830405269	3.336047843
471	1.830406288	3.336046438
472	1.830273382	3.335776116
473	1.830036384	3.33525433
474	1.829855208	3.334916194
475	1.829806364	3.334621582
476	1.829719763	3.33434774
477	1.82958309	3.334064491
478	1.829395643	3.33385109
479	1.82936898	3.333807178
480	1.829264354	3.333556956
481	1.829116157	3.333203208
482	1.828928722	3.332744864
483	1.828746432	3.332547203
484	1.828514318	3.332216568
485	1.828490314	3.332067296
486	1.828446738	3.331978268
487	1.828430349	3.331825724
488	1.828431931	3.331824313
489	1.828350177	3.33171038
490	1.82826319	3.33138208
491	1.828264108	3.331380581
492	1.828257497	3.331370189
493	1.828258762	3.331368836
494	1.828259573	3.33136739
495	1.828250892	3.331254265
496	1.828248948	3.331247915
497	1.828139245	3.331000799
498	1.828139911	3.330999401
499	1.828102124	3.330883111
500	1.827877776	3.330616874
501	1.827878224	3.3306155
502	1.82773712	3.330184491
503	1.827549926	3.329969865
504	1.827393514	3.329676301
505	1.827285386	3.32938268
506	1.827286166	3.329381442
507	1.827138514	3.329309808
508	1.826989154	3.328990344
509	1.826871908	3.328656684
510	1.826794617	3.328426678
511	1.826795998	3.328425471
512	1.826780633	3.328389004
513	1.8266912	3.328179068
514	1.82649918	3.327786125
515	1.826305208	3.327449273
516	1.826130969	3.327249594
517	1.826011832	3.327026
518	1.825879917	3.326838987
519	1.825867009	3.326823157
520	1.825855016	3.326683216
521	1.825835932	3.326650591
522	1.82575354	3.326486534
523	1.825690012	3.326380778
524	1.825583466	3.326111665
525	1.825584935	3.326110548
526	1.825520503	3.32590925
527	1.825521813	3.325908149
528	1.82552305	3.325907065
529	1.825393308	3.325509941
530	1.825325994	3.325412505
531	1.825286341	3.325230141
532	1.825119347	3.325037601
533	1.825053892	3.324879204
534	1.824878709	3.324492466
535	1.824713763	3.324305326
536	1.824715645	3.324304233
537	1.824530361	3.323959688
538	1.824222829	3.323616827
539	1.824224161	3.323615477
540	1.824144145	3.323386008
541	1.824145762	3.323384942
542	1.824143585	3.32337572
543	1.82414514	3.323374685
544	1.823986792	3.323127105
545	1.823818981	3.32285212
546	1.823820192	3.322850997
547	1.823747946	3.322736025
548	1.823748502	3.322734761
549	1.823558517	3.322350474
550	1.823578387	3.322252497
551	1.823520586	3.322133446
552	1.823356973	3.321845728
553	1.823282908	3.321664697
554	1.823160556	3.321403664
555	1.823099304	3.321144778
556	1.822897998	3.320938895
557	1.822898869	3.320937912
558	1.822848314	3.320930468
559	1.822849137	3.320929512
560	1.8227367	3.320709399
561	1.822545753	3.320436233
562	1.822482949	3.320290884
563	1.822483813	3.320289915
564	1.822474945	3.320161861
565	1.822420744	3.320046315
566	1.822421235	3.320045234
567	1.82235656	3.319932081
568	1.822357516	3.319931145
569	1.822297477	3.319767436
570	1.822163249	3.319525799
571	1.822065101	3.31922117
572	1.821924836	3.31893909
573	1.821855106	3.3189218
574	1.821777531	3.318860346
575	1.821652898	3.318576502
576	1.821623645	3.318561248
577	1.821624986	3.318560358
578	1.821625881	3.318559342
579	1.821425653	3.318200855
580	1.821427416	3.31820031
581	1.821396054	3.318085393
582	1.821397044	3.318084529
583	1.821397977	3.318083678
584	1.821399371	3.318083168
585	1.821378395	3.318047433
586	1.821264054	3.317871828
587	1.821168501	3.317517432
588	1.821120245	3.317307355
589	1.821074412	3.317106834
590	1.820988195	3.316857264
591	1.820790041	3.316650635
592	1.820791639	3.316649863
593	1.820636928	3.316339056
594	1.820456816	3.316081172
595	1.820453082	3.316072539
596	1.820383009	3.315964826
597	1.820384505	3.31596392
598	1.820308874	3.315788364
599	1.820168056	3.315511038
600	1.819977192	3.315350891
601	1.819798576	3.314947486
602	1.819800561	3.31494675
603	1.819710832	3.314615975
604	1.819483751	3.314391577
605	1.819412246	3.314225887
606	1.819253579	3.31394447
607	1.819124462	3.3136855
608	1.819126628	3.313684771
609	1.819058628	3.313527892
610	1.818972204	3.313378272
611	1.818794089	3.313020756
612	1.818514178	3.312598025
613	1.818509592	3.312589736
614	1.818450029	3.312491543
615	1.818342581	3.312219196
616	1.818340277	3.312214342
617	1.818188105	3.311969106
618	1.818089556	3.311739598
619	1.818091642	3.311738748
620	1.817964007	3.311537663
621	1.817966049	3.311536822
622	1.817883579	3.311392293
623	1.81779023	3.31122663
624	1.817694701	3.311044289
625	1.817553961	3.310841621
626	1.817316532	3.310501031
627	1.817232697	3.310388985
628	1.817234973	3.310388323
629	1.817149667	3.310233137
630	1.817111027	3.310025334
631	1.817049971	3.309922093
632	1.817008966	3.309738935
633	1.81693835	3.309577102
634	1.81688651	3.30943254
635	1.816878826	3.309406083
636	1.816880681	3.309405445
637	1.816791511	3.309126803
638	1.816613315	3.308941974
639	1.816615022	3.30894135
640	1.816401163	3.308609906
641	1.816308478	3.308516833
642	1.816164812	3.308308252
643	1.816068724	3.308149764
644	1.816018755	3.307968149
645	1.816020689	3.307967525
646	1.815930735	3.307871686
647	1.815802081	3.307662499
648	1.815645902	3.307308405
649	1.815556211	3.307204347
650	1.815509303	3.307062881
651	1.815523639	3.307024703
652	1.815452425	3.306818894
653	1.815322461	3.306544964
654	1.815238573	3.306397536
655	1.815240455	3.306396833
656	1.815189765	3.306288291
657	1.815142828	3.306072288
658	1.815022974	3.30588974
659	1.814947013	3.305725798
660	1.814842362	3.305552664
661	1.814679278	3.305330791
662	1.814680994	3.305330173
663	1.814608505	3.305271556
664	1.814610159	3.30527095
665	1.8144253	3.304853046
666	1.814358047	3.304736876
667	1.814299408	3.304643426
668	1.814199149	3.30448516
669	1.814137218	3.304377946
670	1.813931353	3.304088619
671	1.813870902	3.30397668
672	1.813754354	3.303753967
673	1.813661654	3.30359569
674	1.813525881	3.303346921
675	1.81329739	3.303046889
676	1.813230959	3.302838138
677	1.813184181	3.302703074
678	1.813093892	3.302518154
679	1.813007947	3.302375251
680	1.812907878	3.302029222
681	1.812833514	3.301862963
682	1.812641047	3.301549469
683	1.812594857	3.301396452
684	1.812440728	3.301079099
685	1.812443661	3.301078538
686	1.812432092	3.301035184
687	1.812371021	3.300928703
688	1.812215186	3.300645453
689	1.812118552	3.300435427
690	1.812047988	3.300366835
691	1.811912483	3.30020198
692	1.811784403	3.300012003
693	1.811778896	3.299906257
694	1.811705196	3.299832806
695	1.811590136	3.299572765
696	1.811596964	3.299469616
697	1.811522417	3.299319149
698	1.811373174	3.299110644
699	1.811353872	3.299100616
700	1.811258432	3.298976601
701	1.811176482	3.298843131
702	1.81113369	3.298718588
703	1.811127582	3.298582941
704	1.810991391	3.298354417
705	1.81093218	3.29816536
706	1.810873465	3.29806537
707	1.810834107	3.297948313
708	1.810772058	3.297892296
709	1.810653431	3.297686966
710	1.810655938	3.297686456
711	1.810477371	3.2974041
712	1.810359143	3.297115866
713	1.810228909	3.296845207
714	1.810245811	3.296716404
715	1.810228355	3.296688268
716	1.810108708	3.29639505
717	1.810041745	3.29633256
718	1.810044065	3.296331912
719	1.809980883	3.296190747
720	1.809984657	3.296090412
721	1.809774458	3.295793877
722	1.809725093	3.295673631
723	1.8096904	3.295594856
724	1.809624873	3.295535891
725	1.809513926	3.295239552
726	1.809336534	3.295003233
727	1.809339154	3.295002776
728	1.809189668	3.294708053
729	1.808993579	3.294432982
730	1.808929088	3.294258828
731	1.808695068	3.293828193
732	1.808551815	3.293627154
733	1.808377304	3.293510616
734	1.808365126	3.293501137
735	1.808252127	3.293327839
736	1.808141613	3.293135544
737	1.808171074	3.293036304
738	1.808172707	3.293035691
739	1.807972903	3.292735425
740	1.807889524	3.292585175
741	1.807713267	3.29233461
