iter	Passed	Remaining
0	4	4746
1	7	3529
2	9	3086
3	11	2815
4	13	2763
5	16	2782
6	18	2689
7	21	2678
8	24	2665
9	26	2623
10	29	2642
11	36	3027
12	41	3185
13	46	3296
14	54	3581
15	57	3515
16	60	3485
17	65	3585
18	68	3560
19	71	3506
20	74	3455
21	79	3551
22	83	3551
23	86	3514
24	90	3543
25	94	3555
26	100	3609
27	102	3569
28	106	3559
29	110	3583
30	118	3694
31	129	3916
32	141	4141
33	152	4332
34	163	4498
35	171	4593
36	181	4734
37	190	4811
38	199	4904
39	206	4949
40	214	5005
41	220	5019
42	227	5053
43	232	5042
44	240	5114
45	246	5103
46	255	5176
47	264	5244
48	274	5329
49	277	5263
50	279	5202
51	281	5136
52	285	5104
53	288	5058
54	291	5006
55	293	4955
56	295	4895
57	297	4836
58	300	4798
59	303	4753
60	306	4721
61	308	4671
62	310	4623
63	313	4580
64	316	4557
65	320	4528
66	322	4485
67	324	4445
68	326	4402
69	328	4360
70	331	4333
71	335	4319
72	337	4280
73	338	4241
74	340	4203
75	342	4168
76	345	4143
77	348	4116
78	351	4094
79	353	4062
80	355	4030
81	357	3997
82	358	3964
83	364	3977
84	368	3963
85	372	3954
86	375	3943
87	382	3960
88	384	3936
89	386	3909
90	388	3880
91	390	3852
92	396	3866
93	400	3861
94	404	3848
95	409	3860
96	414	3856
97	417	3838
98	420	3823
99	422	3801
100	426	3794
101	429	3776
102	432	3766
103	434	3742
104	437	3732
105	442	3733
106	448	3740
107	450	3724
108	453	3703
109	455	3684
110	458	3675
111	462	3670
112	465	3654
113	467	3633
114	469	3613
115	475	3624
116	478	3611
117	480	3594
118	482	3575
119	485	3562
120	492	3575
121	495	3565
122	498	3550
123	500	3533
124	502	3516
125	505	3509
126	508	3496
127	511	3486
128	514	3471
129	516	3455
130	519	3447
131	522	3438
132	526	3430
133	528	3416
134	531	3402
135	534	3397
136	538	3389
137	540	3378
138	544	3372
139	546	3357
140	550	3350
141	552	3339
